Company,Previous Closing Price,Opening Price,High,Low,Close,Change,Trades,Volume,Value,Trade Date,"Previous
Closing
Price"
IMG,,37.0,--,--,--,,1,50,"1,850.00",01 Sep 25,37.0
INFINITY [BLS],,7.0,--,--,--,,0,--,--,01 Sep 25,7.0
INTBREW,,12.65,--,--,--,,13,"25,182","317,552.30",01 Sep 25,12.65
INTENEGINS [MRS],,3.25,--,--,--,,2,"5,000","16,550.00",01 Sep 25,3.25
JAIZBANK,,4.65,--,--,--,,57,"135,594","646,160.35",01 Sep 25,4.65
JAPAULGOLD,,2.8,--,--,--,,3,"5,100","14,322.50",01 Sep 25,2.8
JBERGER,,146.1,--,--,--,,9,"2,706","368,655.60",01 Sep 25,146.1
JOHNHOLT,,6.3,--,--,--,,6,"7,450","51,403.80",01 Sep 25,6.3
JULI,,9.9,--,--,--,,0,--,--,01 Sep 25,9.9
LASACO,,3.0,--,--,--,,16,"79,081","238,844.99",01 Sep 25,3.0
LEARNAFRCA,,7.8,--,--,--,,22,"6,881","55,048.00",01 Sep 25,7.8
LEGENDINT [BLS],,5.35,--,--,--,,5,47,252.20,01 Sep 25,5.35
LINKASSURE,,2.25,--,--,--,,6,"69,698","156,820.50",01 Sep 25,2.25
LIVESTOCK,,8.0,--,--,--,,21,"27,637","221,283.85",01 Sep 25,8.0
LIVINGTRUST,,4.2,--,--,--,,0,--,--,01 Sep 25,4.2
MANSARD,,15.6,--,--,--,,15,"8,332","133,054.60",01 Sep 25,15.6
MAYBAKER,,18.05,--,--,--,,5,596,"10,420.10",01 Sep 25,18.05
MBENEFIT,,3.9,--,--,--,,11,"69,587","277,205.53",01 Sep 25,3.9
MCNICHOLS,,3.8,--,--,--,,2,120,456.00,01 Sep 25,3.8
MECURE,,19.5,--,--,--,,2,456,"9,652.00",01 Sep 25,19.5
MEYER,,16.75,--,--,--,,0,--,--,01 Sep 25,16.75
MORISON,,3.22,--,--,--,,0,--,--,01 Sep 25,3.22
MTNN,,435.0,--,--,--,,141,"12,143","4,932,598.90",01 Sep 25,435.0
MULTITREX [DWL],,0.36,--,--,--,,0,--,--,01 Sep 25,0.36
MULTIVERSE,,10.9,--,--,--,,3,"10,001","104,510.45",01 Sep 25,10.9
NAHCO,,103.5,--,--,--,,14,"60,338","6,250,195.50",01 Sep 25,103.5
NASCON,,89.0,--,--,--,,11,"12,949","1,145,544.20",01 Sep 25,89.0
NB,,70.2,--,--,--,,14,"1,715","120,239.00",01 Sep 25,70.2
NCR,,11.55,--,--,--,,0,--,--,01 Sep 25,11.55
NEIMETH,,6.6,--,--,--,,5,"7,879","52,155.30",01 Sep 25,6.6
NEM,,31.2,--,--,--,,9,"3,973","122,908.60",01 Sep 25,31.2
NESTLE,,1870.0,--,--,--,,12,"1,582","2,839,060.10",01 Sep 25,1870.0
NGXGROUP,,57.8,--,--,--,,14,"1,198","67,875.15",01 Sep 25,57.8
NIDF,,113.0,--,--,--,,7,"30,426","3,438,138.00",01 Sep 25,113.0
NNFM,,86.7,--,--,--,,6,318,"25,603.70",01 Sep 25,86.7
NPFMCRFBK,,3.1,--,--,--,,7,"11,716","35,727.86",01 Sep 25,3.1
NSLTECH,,0.86,0.86,0.86,0.86,0.01,17,"553,556","482,878.38",01 Sep 25,0.85
OANDO,,51.2,--,--,--,,27,"29,082","1,527,713.50",01 Sep 25,51.2
OKOMUOIL,,1020.0,--,--,--,,31,"3,462","3,325,693.60",01 Sep 25,1020.0
OMATEK,,1.4,--,--,--,,12,"25,502","36,383.16",01 Sep 25,1.4
PHARMDEKO [MRF],,1.83,--,--,--,,0,--,--,01 Sep 25,1.83
PREMPAINTS [MRF],,10.0,--,--,--,,0,--,--,01 Sep 25,10.0
PRESCO,,1480.0,--,--,--,,35,"4,636","6,459,364.00",01 Sep 25,1480.0
PRESTIGE [BLS],,1.74,--,--,--,,8,"28,131","49,791.87",01 Sep 25,1.74
PZ,,36.9,--,--,--,,11,"12,660","443,811.00",01 Sep 25,36.9
REDSTAREX,,12.0,--,--,--,,0,--,--,01 Sep 25,12.0
REGALINS [MRF],,1.31,--,--,--,,8,"109,119","142,390.56",01 Sep 25,1.31
RONCHESS,,81.0,--,--,--,,0,--,--,01 Sep 25,81.0
ROYALEX,,2.0,--,--,--,,13,"19,124","38,978.21",01 Sep 25,2.0
RTBRISCOE,,3.54,--,--,--,,2,"5,939","21,080.56",01 Sep 25,3.54
SCOA,,6.0,--,--,--,,2,310,"1,844.50",01 Sep 25,6.0
SEPLAT,,5379.3,--,--,--,,13,81,"435,723.00",01 Sep 25,5379.3
SFSREIT,,301.55,--,--,--,,5,"5,270","1,739,932.00",01 Sep 25,301.55
SKYAVN,,90.05,--,--,--,,3,735,"64,170.50",01 Sep 25,90.05
SMURFIT [MRF],,0.72,--,--,--,,0,--,--,01 Sep 25,0.72
SOVRENINS,,2.6,--,--,--,,13,"70,405","184,904.00",01 Sep 25,2.6
STACO [DWL],,0.48,--,--,--,,0,--,--,01 Sep 25,0.48
